"","year_data","country","name","CD_inc","UC_inc","CD_change_inc","UC_change_inc","CD_prev","UC_prev","CD_change_prev","UC_change_prev","stage","status","decade","CD_inc_impute","UC_inc_impute","CD_prev_impute","UC_prev_impute","CD_change_inc_impute","UC_change_inc_impute","CD_change_prev_impute","UC_change_prev_impute","CD_inc_ind","UC_inc_ind","CD_prev_ind","UC_prev_ind","CD_change_inc_ind","UC_change_inc_ind","CD_change_prev_ind","UC_change_prev_ind"
"141_Bosnia and Herzegovina_TUZLA_1999",1999,"Bosnia and Herzegovina","TUZLA",1.40524703796244,3.82848392036753,-0.20074957685178,1.20899492222132,NA,NA,NA,NA,"stage2","labelled","1990-1999",1.40524703796244,3.82848392036753,28.2,43.1208188925607,-0.20074957685178,1.20899492222132,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"142_Bosnia and Herzegovina_TUZLA_2000",2000,"Bosnia and Herzegovina","TUZLA",2.20824534536955,4.02998307407109,0.80299830740711,0.20149915370356,NA,NA,NA,NA,"stage2","labelled","2000-2009",2.20824534536955,4.02998307407109,28.2,43.1208188925607,0.80299830740711,0.20149915370356,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"143_Bosnia and Herzegovina_TUZLA_2001",2001,"Bosnia and Herzegovina","TUZLA",1.40524703796244,2.41798984444265,-0.80299830740711,-1.61199322962844,NA,NA,NA,NA,"stage2","labelled","2000-2009",1.40524703796244,2.41798984444265,28.2,43.1208188925607,-0.80299830740711,-1.61199322962844,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"144_Bosnia and Herzegovina_TUZLA_2002",2002,"Bosnia and Herzegovina","TUZLA",2.20824534536955,3.22398645925687,0.80299830740711,0.80599661481422,NA,NA,NA,NA,"stage2","labelled","2000-2009",2.20824534536955,3.22398645925687,28.2,43.1208188925607,0.80299830740711,0.80599661481422,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"145_Bosnia and Herzegovina_TUZLA_2003",2003,"Bosnia and Herzegovina","TUZLA",4.01499153703555,7.0524703796244,1.806746191666,3.82848392036753,NA,NA,NA,NA,"stage2","labelled","2000-2009",4.01499153703555,7.0524703796244,28.2,43.1208188925607,1.806746191666,3.82848392036753,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"146_Bosnia and Herzegovina_TUZLA_2004",2004,"Bosnia and Herzegovina","TUZLA",6.42398645925687,8.26146530184573,2.40899492222132,1.20899492222133,NA,NA,NA,NA,"stage2","labelled","2000-2009",6.42398645925687,8.26146530184573,28.2,43.1208188925607,2.40899492222132,1.20899492222133,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"147_Bosnia and Herzegovina_TUZLA_2005",2005,"Bosnia and Herzegovina","TUZLA",3.01124365277666,6.44797291851374,-3.41274280648021,-1.81349238333199,NA,NA,NA,NA,"stage2","labelled","2000-2009",3.01124365277666,6.44797291851374,28.2,43.1208188925607,-3.41274280648021,-1.81349238333199,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"148_Bosnia and Herzegovina_TUZLA_2006",2006,"Bosnia and Herzegovina","TUZLA",5.01873942129443,5.64197630369952,2.00749576851777,-0.805996614814219,28.2,43.1208188925607,NA,NA,"stage2","labelled","2000-2009",5.01873942129443,5.64197630369952,28.2,43.1208188925607,2.00749576851777,-0.805996614814219,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"149_Brunei_Brunei_2004",2004,"Brunei","Brunei",0,0.278215193888169,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",0,0.278215193888169,0,0,0.547777120445233,0.269561926557064,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"150_Brunei_Brunei_2005",2005,"Brunei","Brunei",0.547777120445233,0.547777120445233,0.547777120445233,0.269561926557064,NA,NA,NA,NA,"unclassified","unlabelled","2000-2009",0.547777120445233,0.547777120445233,0,0,0.547777120445233,0.269561926557064,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
