"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Netherlands","1990-1999",7.9,14.9,7.9,10.39,12.05,13.415,14.9,11.86
"Netherlands","2000-2009",11.86,25.88,11.86,15.9825,18.035,21.9525,25.88,18.035
"Netherlands","2010-2019",21.47,21.47,21.47,21.47,21.47,21.47,21.47,21.47
"New Zealand","1970-1979",5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"New Zealand","1990-1999",4.8,6.3,4.8,5.175,5.45,5.775,6.3,5.45
"New Zealand","2000-2009",3.6,9.5,3.6,5.225,6.3,7.425,9.5,5.9
"New Zealand","2010-2019",6.4,13.7853370611991,6.4,7,8.1,10.32322508,13.78533706,8.1
"Northern Ireland","2000-2009",16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2
"Norway","1960-1969",2.95656722834341,3.88388812605568,2.95656723,3.07337654,3.1709637,3.47869401,3.88388813,3.17096369835656
"Norway","1980-1989",11.7682804188652,18.3962264150943,11.76828042,12.65315874,13.69399903,15.68318608,18.39622642,13.6939990328613
"Norway","1990-1999",10.5625775199068,17.4,10.56257752,12.52659676,15.4,16.45,17.4,16
"Norway","2000-2009",24.8242343917297,24.8242343917297,24.82423439,24.82423439,24.82423439,24.82423439,24.82423439,24.8242343917297
"Norway","2010-2019",11.9209039548023,47.1563145866516,11.92090395,25.5867923,27.85579173,29.6650586,47.15631459,28.0503650650528
"Oman","1980-1989",0.71508635561602,1.72853270414743,0.71508636,0.8170083,0.91893025,1.32373148,1.7285327,0.918930250322344
"Oman","1990-1999",1.25476206333074,2.14111233578599,1.25476206,1.32438783,1.41180837,1.90097906,2.14111234,1.41180836516625
"Panama","1980-1989",0.594198248303564,1.18839649660713,0.59419825,0.89129737,1.1883965,1.1883965,1.1883965,1.18839649660713
"Panama","1990-1999",0.582604592089395,2.33041836835758,0.58260459,1.01955804,1.45651148,1.89346492,2.33041837,1.45651148022348
